地区ＣＤ,集計年月,緯度,経度,地区名,日本人男,日本人女,外国人男,外国人女
000101,202006,35.061172,134.030946,川崎,1295,1446,15,16
000102,202006,35.075027,134.0295,野介代,1044,1134,2,22
000103,202006,35.070067,134.017311,林田,1133,1307,0,9
000201,202006,35.063372,134.018721,東新町,66,77,0,0
000202,202006,35.062343,134.015917,西新町,49,56,0,1
000203,202006,35.061504,134.013087,中之町,43,51,1,1
000204,202006,35.060822,134.011668,勝間田町,18,21,0,0
000205,202006,35.060171,134.010362,林田町,42,50,0,0
000206,202006,35.05995,134.009069,橋本町,20,24,0,0
000207,202006,35.063943,134.016621,上之町,325,387,0,1
000301,202006,35.059179,134.008251,材木町,40,54,0,2
000302,202006,35.05857,134.006705,伏見町,36,52,0,0
000303,202006,35.058782,134.003732,京町,41,54,0,1
000304,202006,35.058268,134.005137,河原町,30,39,0,0
000305,202006,35.05763,134.003585,船頭町,24,30,0,0
000306,202006,35.058093,134.00278,小性町,35,45,0,0
000307,202006,35.057212,133.999906,吹屋町,60,84,1,0
000308,202006,35.058696,134.000444,新魚町,30,34,0,0
000401,202006,35.058413,134.001421,堺町,24,33,0,0
000402,202006,35.060084,134.001464,二階町,22,45,0,0
000403,202006,35.060565,134.00069,元魚町,13,33,0,0
000404,202006,35.058785,133.999498,新職人町,16,24,0,0
000405,202006,35.059207,133.998953,戸川町,50,48,3,4
000406,202006,35.060082,133.999642,本町２丁目,10,9,0,0
000407,202006,35.060168,133.998392,本町３丁目,22,22,1,0
000408,202006,35.060802,133.999839,美濃町,8,9,0,0
000501,202006,35.058024,133.998697,桶屋町,16,21,0,0
000502,202006,35.0614,133.999107,下紺屋町,15,18,0,0
000503,202006,35.060886,133.998498,鍛治町,15,17,1,0
000504,202006,35.060584,133.996705,坪井町,38,45,0,0
000505,202006,35.059854,133.996612,福渡町,38,49,4,2
000506,202006,35.06165,133.996822,細工町,20,23,0,0
000507,202006,35.061258,133.99678,上紺屋町,20,27,0,0
000508,202006,35.06052,133.99493,宮脇町,22,33,2,4
000509,202006,35.058245,133.996787,南新座,213,248,3,2
000601,202006,35.061717,134.004087,山下,139,137,1,1
000602,202006,35.065889,134.005944,北町,114,130,2,3
000603,202006,35.066431,134.001702,椿高下,223,250,2,3
000604,202006,35.065769,133.99823,城代町,16,14,1,0
000605,202006,35.062908,133.997564,田町,337,430,7,6
000606,202006,35.059881,134.003629,大手町,12,16,2,0
000701,202006,35.059907,133.991881,西寺町,91,103,0,0
000702,202006,35.057325,133.99379,鉄砲町,156,164,0,0
000703,202006,35.05795,133.990947,新茅町,12,11,0,2
000704,202006,35.060421,133.992907,西今町,55,81,0,9
000705,202006,35.059729,133.988852,茅町,51,59,0,1
000706,202006,35.061451,133.986779,安岡町,82,91,0,0
000707,202006,35.064474,133.988516,小田中,1656,1857,31,20
000801,202006,35.085397,134.003667,上河原,877,978,1,6
000802,202006,35.076578,134.006452,北園町,521,588,4,10
000803,202006,35.070585,134.004009,山北,1313,1436,3,10
000804,202006,35.076039,133.989406,総社,663,734,7,3
000805,202006,35.083801,133.99276,小原,1699,1901,10,15
000901,202006,35.079019,134.019755,志戸部,892,964,3,5
000902,202006,35.08725,134.025363,勝部,834,891,2,3
000903,202006,35.096046,134.024629,籾保,135,124,1,1
000904,202006,35.091593,134.014451,紫保井,247,233,1,2
000905,202006,35.091396,134.00579,大田,775,832,7,2
000906,202006,35.077169,134.012521,沼,909,937,8,11
000907,202006,35.074819,134.015296,弥生町,109,105,0,1
001001,202006,35.063948,133.968385,二宮,1265,1292,21,17
001101,202006,35.060132,133.95204,院庄,860,906,16,12
001102,202006,35.062965,133.941498,神戸,599,638,51,23
001103,202006,35.071245,133.950607,戸島,176,179,4,0
001201,202006,35.021364,133.964037,福田,155,170,2,2
001202,202006,35.035706,133.960202,高尾,147,188,3,0
001203,202006,35.038463,133.973837,皿,242,225,0,0
001204,202006,35.050094,133.969187,平福,789,807,18,12
001205,202006,35.053025,133.961575,中島,369,391,4,14
001206,202006,35.049317,133.980029,一方,662,718,10,2
001207,202006,35.057198,133.985525,津山口,384,391,4,1
001208,202006,35.05021,133.987988,井口,125,149,0,1
001301,202006,35.046604,133.996685,大谷,421,430,3,5
001302,202006,35.05524,133.999564,昭和町１丁目,41,44,1,1
001303,202006,35.055245,133.994647,昭和町２丁目,41,40,4,6
001304,202006,35.0559,134.002619,南町１丁目,28,28,1,1
001305,202006,35.048089,134.010616,横山,389,441,8,6
001306,202006,35.057049,134.016804,八出,329,314,1,2
001401,202006,35.037792,134.025846,小桁,65,60,0,0
001402,202006,35.028932,134.027501,金屋,19,24,0,0
001403,202006,35.014215,134.02164,押渕,48,54,0,0
001404,202006,35.0281,134.014306,荒神山,38,35,0,0
